Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Fuse Size","Current Rating (Amps)","For Use With/Related Products","Fuse Type","Fuseholder Type","Number of Circuits","Voltage","Orientation","Termination Style","Contact Material","Contact Finish"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_111_datasheet.pdf.pdf,"//media.digikey.com/photos/Littelfuse%20Photos/01110501H,01110506H.jpg",F4189-ND,01110501Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 10A PCB,329228,0,"0.13000","0","1","-","111","Active","Through Hole","0.197"" Dia (5mm)","10A","5mm Dia Fuses","Cartridge","Clip","1","250V","Horizontal","PC Pin","Spring Brass","Tin"
http://keyelco.com/userAssets/file/M65p41.pdf,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3522.JPG,36-3522-ND,3522,Keystone Electronics,FUSE CLIP BLADE 500V 30A PCB,62341,233100,"0.20000","0","1","-","-","Active","Through Hole","-","30A","ATC, ATO","Blade","Clip","1","500V","Vertical","PC Pin","Brass","Tin"
http://keyelco.com/userAssets/file/M65p46.pdf,//media.digikey.com/photos/Keystone%20Elect%20Photos/3519.jpg,36-3519-ND,3519,Keystone Electronics,FUSE CLIP CARTRIDGE 15A PCB,113931,0,"0.21000","0","1","-","-","Active","Through Hole","0.197"" Dia (5mm)","15A","5mm Dia Fuses","Cartridge","Clip","1","-","Horizontal","PC Pin","Brass","Tin"
http://keyelco.com/userAssets/file/M65p41.pdf,//media.digikey.com/Photos/Keystone%20Elect%20Photos/3557.jpg,36-3557-ND,3557,Keystone Electronics,FUSE CLIP BLADE 500V 30A PCB,165180,415500,"0.22000","0","1","-","-","Active","Through Hole","-","30A","ATC, ATO, Miniature (ATM)","Blade","Clip","1","500V","Vertical","PC Pin","Brass","Tin Nickel"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_102_122_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/01020071Z.JPG,F3781-ND,01020071Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 15A PCB,101642,0,"0.23000","0","1","-","102","Active","Through Hole","0.25"" Dia (6.35mm)","15A","1/4"" Dia Fuses","Cartridge","Clip","1","250V","Horizontal","PC Pin","Spring Brass","Tin"
https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_520_521_102071_datasheet.pdf.pdf,//media.digikey.com/photos/Littelfuse%20Photos/10207101009.JPG,WK6253-ND,10207101009,Littelfuse Inc.,FUSE CLIP CARTRIDGE 500V 10A PCB,21937,0,"0.25000","0","1","-","102071","Active","Through Hole","0.25"" Dia (6.35mm)","10A","1/4"" Dia Fuses","Cartridge","Clip","1","500V","Horizontal","PC Pin","Brass","Tin"
https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-1axxxx-pcb-fuse-clips-atc-atm-blade-data-sheet.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/BK^1A5018-10-R.jpg,283-2603-ND,BK/1A5018-10-R,Eaton - Electronics Division,FUSE CLIP CARTRIDGE 500V 15A PCB,26371,27000,"0.26000","0","1","-","1AXXXX","Active","Through Hole","0.197"" Dia (5mm)","15A","5mm Dia Fuses","Cartridge","Clip","1","500V","Horizontal","PC Pin","Spring Bronze","Tin"
http://keyelco.com/userAssets/file/M65p46.pdf,//media.digikey.com/photos/Keystone%20Elect%20Photos/3517.jpg,36-3517-ND,3517,Keystone Electronics,FUSE CLIP CARTRIDGE 15A PCB,40629,146100,"0.27000","0","1","-","-","Active","Through Hole","0.197"" Dia (5mm)","15A","5mm Dia Fuses","Cartridge","Clip","1","-","Horizontal","PC Pin","Brass","Tin"
http://keyelco.com/userAssets/file/M65p40.pdf,//media.digikey.com/photos/Keystone%20Elect%20Photos/3555.JPG,36-3555-ND,3555,Keystone Electronics,FUSE CLIP BLADE 500V 50A PCB,30471,0,"0.31000","0","1","-","MAXI PC","Active","Through Hole","-","50A","Maxi (ATX)","Blade","Clip","1","500V","Vertical","PC Pin","Copper","Tin Nickel"
https://www.littelfuse.com/data/en/Data_Sheets/Littelfuse_fuse-clips.pdf,//media.digikey.com/photos/Littelfuse%20Photos/01000056H.jpg,F3784-ND,01000056Z,Littelfuse Inc.,FUSE CLIP CARTRIDGE 250V 10A PCB,44664,0,"0.36000","0","1","-","100","Active","Through Hole","0.197"" Dia (5mm)","10A","5mm Dia Fuses","Cartridge","Clip","1","250V","Horizontal","PC Pin","Spring Brass","Tin"
http://www.keyelco.com/product-pdf.cfm?p=314,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_3586KTR.jpg,36-3586KTR-ND,3586KTR,Keystone Electronics,FUSE CLIP BLADE 30A SURFACE MNT,16500,0,"0.38300","0","750","Tape & Reel (TR)","-","Active","Surface Mount","-","30A","ATC, ATO, Miniature (ATM), Miniature (Low Profile) (ATT)","Blade","Clip","1","-","Vertical","Gull Wing","Brass","Tin Nickel"
